TimeStep,PosX,PosZ,Altitude,Velocity,Battery,TrafficAgentsCount,CurrentPolicy
1,7.56,-119.25,5.01,0.00,0.9980,19,None
2,7.56,-119.25,5.01,0.00,0.9980,19,None
3,7.56,-119.25,5.01,0.00,0.9980,19,None
4,7.56,-119.25,5.01,0.00,0.9979,19,None
5,7.56,-119.25,5.01,0.00,0.9979,19,None
6,7.56,-119.25,5.01,0.00,0.9979,19,None
7,7.54,-119.21,5.01,0.65,0.9979,19,None
8,7.54,-119.21,5.01,0.65,0.9979,19,None
9,7.54,-119.21,5.01,0.65,0.9979,19,None
10,7.51,-119.13,5.01,1.31,0.9979,19,None
11,7.51,-119.13,5.01,1.31,0.9979,19,None
12,7.51,-119.13,5.01,1.31,0.9979,19,None
13,7.51,-119.13,5.01,1.31,0.9979,19,None
14,7.51,-119.13,5.01,1.31,0.9979,19,None
15,7.51,-119.13,5.01,1.31,0.9979,19,None
16,7.51,-119.13,5.01,1.31,0.9979,19,None
17,7.41,-118.89,5.01,1.98,0.9978,19,None
18,7.41,-118.89,5.01,1.98,0.9978,19,None
19,7.41,-118.89,5.01,1.98,0.9978,19,None
20,7.36,-118.77,5.01,2.00,0.9978,19,None
21,7.36,-118.77,5.01,2.00,0.9978,19,None
22,7.34,-118.70,5.01,2.00,0.9977,19,None
23,7.34,-118.70,5.01,2.00,0.9977,19,None
24,7.34,-118.70,5.01,2.00,0.9977,19,None
25,7.34,-118.70,5.01,2.00,0.9977,19,None
26,7.28,-118.57,5.01,2.00,0.9977,19,None
27,7.28,-118.57,5.01,2.00,0.9977,19,None
28,7.28,-118.57,5.01,2.00,0.9977,19,None
29,7.23,-118.45,5.01,2.00,0.9977,19,None
30,7.23,-118.45,5.01,2.00,0.9977,19,None
31,7.21,-118.39,5.01,2.00,0.9977,19,None
32,7.21,-118.39,5.01,2.00,0.9977,19,None
33,7.21,-118.39,5.01,2.00,0.9977,19,None
34,7.16,-118.28,5.01,2.00,0.9976,19,None
35,7.16,-118.28,5.01,2.00,0.9976,19,None
36,7.16,-118.28,5.01,2.00,0.9976,19,None
37,7.11,-118.15,5.01,2.00,0.9976,19,None
38,7.11,-118.15,5.01,2.00,0.9976,19,None
39,7.11,-118.15,5.01,2.00,0.9976,19,None
40,7.06,-118.03,5.01,2.00,0.9975,19,None
41,7.06,-118.03,5.01,2.00,0.9975,19,None
42,7.06,-118.03,5.01,2.00,0.9975,19,None
43,7.06,-118.03,5.01,2.00,0.9975,19,None
44,7.01,-117.91,5.01,2.00,0.9975,19,None
45,7.01,-117.91,5.01,2.00,0.9975,19,None
46,7.01,-117.91,5.01,2.00,0.9975,19,None
47,6.97,-117.79,5.01,2.00,0.9975,19,None
48,6.97,-117.79,5.01,2.00,0.9975,19,None
49,6.97,-117.79,5.01,2.00,0.9975,19,None
50,6.97,-117.79,5.01,2.00,0.9975,19,None
51,6.97,-117.79,5.01,2.00,0.9975,19,None
52,6.89,-117.59,5.01,2.00,0.9974,19,None
53,6.89,-117.59,5.01,2.00,0.9974,19,None
54,6.89,-117.59,5.01,2.00,0.9974,19,None
55,6.84,-117.47,5.01,2.00,0.9974,19,None
