t,p_t_x,p_t_y,h_t,v_t,e_t,|A_t|,|M_t|,Pi
1,7.56,-119.25,5.01,0.00,0.9979,19,0,None
2,7.56,-119.25,5.01,0.00,0.9979,19,0,None
3,7.56,-119.25,5.01,0.00,0.9979,19,0,None
4,7.56,-119.25,5.01,0.00,0.9979,19,0,None
5,7.56,-119.25,5.01,0.00,0.9979,19,0,None
6,7.55,-119.23,5.01,0.73,0.9979,19,0,None
7,7.55,-119.23,5.01,0.73,0.9979,19,0,None
8,7.55,-119.23,5.01,0.73,0.9979,19,0,None
9,7.55,-119.23,5.01,0.73,0.9979,19,0,None
10,7.55,-119.23,5.01,0.73,0.9979,19,0,None
11,7.50,-119.12,5.01,1.09,0.9978,19,0,None
12,7.50,-119.12,5.01,1.09,0.9978,19,0,None
13,7.50,-119.12,5.01,1.09,0.9978,19,0,None
14,7.50,-119.12,5.01,1.09,0.9978,19,0,None
15,7.50,-119.12,5.01,1.09,0.9978,19,0,None
16,7.43,-118.94,5.01,2.00,0.9978,19,0,None
17,7.43,-118.94,5.01,2.00,0.9978,19,0,None
18,7.43,-118.94,5.01,2.00,0.9978,19,0,None
19,7.38,-118.82,5.01,2.00,0.9977,19,0,None
20,7.38,-118.82,5.01,2.00,0.9977,19,0,None
21,7.38,-118.82,5.01,2.00,0.9977,19,0,None
22,7.38,-118.82,5.01,2.00,0.9977,19,0,None
23,7.33,-118.68,5.01,2.00,0.9977,19,0,None
24,7.33,-118.68,5.01,2.00,0.9977,19,0,None
25,7.29,-118.60,5.01,2.00,0.9977,19,0,None
26,7.29,-118.60,5.01,2.00,0.9977,19,0,None
27,7.29,-118.60,5.01,2.00,0.9977,19,0,None
28,7.25,-118.48,5.01,2.00,0.9976,19,0,None
29,7.25,-118.48,5.01,2.00,0.9976,19,0,None
30,7.25,-118.48,5.01,2.00,0.9976,19,0,None
31,7.25,-118.48,5.01,2.00,0.9976,19,0,None
32,7.25,-118.48,5.01,2.00,0.9976,19,0,None
33,7.25,-118.48,5.01,2.00,0.9976,19,0,None
34,7.17,-118.30,5.01,2.00,0.9976,19,0,None
35,7.17,-118.30,5.01,2.00,0.9976,19,0,None
36,7.17,-118.30,5.01,2.00,0.9976,19,0,None
37,7.12,-118.16,5.01,2.00,0.9975,19,0,None
38,7.12,-118.16,5.01,2.00,0.9975,19,0,None
39,7.08,-118.08,5.01,2.00,0.9975,19,0,None
40,7.08,-118.08,5.01,2.00,0.9975,19,0,None
41,7.08,-118.08,5.01,2.00,0.9975,19,0,None
42,7.08,-118.08,5.01,2.00,0.9975,19,0,None
43,7.03,-117.95,5.01,2.00,0.9975,19,0,None
44,7.03,-117.95,5.01,2.00,0.9975,19,0,None
45,7.03,-117.95,5.01,2.00,0.9975,19,0,None
46,7.03,-117.95,5.01,2.00,0.9975,19,0,None
47,7.03,-117.95,5.01,2.00,0.9975,19,0,None
48,6.96,-117.76,5.01,2.00,0.9974,19,0,None
49,6.96,-117.76,5.01,2.00,0.9974,19,0,None
50,6.93,-117.70,5.01,2.00,0.9974,19,0,None
51,6.90,-117.63,5.01,2.00,0.9974,19,0,None
52,6.90,-117.63,5.01,2.00,0.9974,19,0,None
53,6.90,-117.63,5.01,2.00,0.9974,19,0,None
54,6.90,-117.63,5.01,2.00,0.9974,19,0,None
55,6.85,-117.50,5.01,2.00,0.9973,19,0,None
56,6.85,-117.50,5.01,2.00,0.9973,19,0,None
57,6.85,-117.50,5.01,2.00,0.9973,19,0,None
58,6.80,-117.37,5.02,2.00,0.9973,19,0,None
59,6.80,-117.37,5.02,2.00,0.9973,19,0,None
60,6.80,-117.37,5.02,2.00,0.9973,19,0,None
61,6.80,-117.37,5.02,2.00,0.9973,19,0,None
62,6.74,-117.24,5.02,2.00,0.9972,19,0,None
63,6.74,-117.24,5.02,2.00,0.9972,19,0,None
