t,agent_id,y_t_x,y_t_y,nu_t,kappa_i
1,0,88.88,11.80,0.01,Vehicle
1,1,146.45,-138.74,0.00,Vehicle
1,2,-47.72,-97.04,0.02,Vehicle
1,3,7.62,-98.45,0.00,Vehicle
1,4,-103.62,-12.49,0.44,Vehicle
1,5,55.96,-105.13,0.00,Vehicle
1,6,-146.49,-138.95,0.00,Vehicle
1,7,-138.01,-3.85,0.43,Vehicle
1,8,-62.77,-124.62,0.00,Pedestrian
1,9,-86.25,-95.72,0.00,Pedestrian
1,10,95.72,-118.12,0.00,Pedestrian
1,11,140.93,123.78,0.00,Pedestrian
1,12,15.69,117.76,0.00,Pedestrian
1,13,15.69,131.48,0.00,Pedestrian
1,14,-30.50,-60.69,0.00,Pedestrian
1,15,-129.60,15.45,0.00,Pedestrian
1,16,140.80,40.33,0.00,Pedestrian
1,17,60.57,65.19,0.00,Pedestrian
1,18,-62.77,-135.08,0.00,Pedestrian
2,0,88.88,11.79,0.13,Vehicle
2,1,146.45,-138.74,0.03,Vehicle
2,2,-47.72,-97.05,0.11,Vehicle
2,3,7.62,-98.45,0.00,Vehicle
2,4,-103.63,-12.47,0.53,Vehicle
2,5,55.96,-105.13,0.00,Vehicle
2,6,-146.49,-138.95,0.00,Vehicle
2,7,-138.03,-4.05,0.75,Vehicle
2,8,-62.62,-124.62,0.00,Pedestrian
2,9,-86.25,-95.72,0.00,Pedestrian
2,10,95.72,-118.12,0.00,Pedestrian
2,11,140.93,123.78,0.00,Pedestrian
2,12,15.54,117.76,0.00,Pedestrian
2,13,15.54,131.48,0.00,Pedestrian
2,14,-30.50,-60.61,0.00,Pedestrian
2,15,-129.60,15.45,0.00,Pedestrian
2,16,140.80,40.33,0.00,Pedestrian
2,17,60.57,65.19,0.00,Pedestrian
2,18,-62.62,-135.08,0.00,Pedestrian
3,0,88.88,11.79,0.07,Vehicle
3,1,146.45,-138.74,0.01,Vehicle
3,2,-47.72,-97.05,0.09,Vehicle
3,3,7.62,-98.45,0.00,Vehicle
3,4,-103.63,-12.46,0.59,Vehicle
3,5,55.96,-105.13,0.00,Vehicle
3,6,-146.49,-138.95,0.00,Vehicle
3,7,-138.03,-4.09,0.48,Vehicle
3,8,-62.59,-124.62,0.00,Pedestrian
3,9,-86.25,-95.72,0.00,Pedestrian
3,10,95.72,-118.12,0.00,Pedestrian
3,11,140.93,123.78,0.00,Pedestrian
3,12,15.51,117.76,0.00,Pedestrian
3,13,15.51,131.48,0.00,Pedestrian
3,14,-30.50,-60.59,0.00,Pedestrian
3,15,-129.60,15.45,0.00,Pedestrian
3,16,140.80,40.33,0.00,Pedestrian
3,17,60.57,65.19,0.00,Pedestrian
3,18,-62.59,-135.08,0.00,Pedestrian
4,0,89.51,11.80,0.05,Vehicle
4,1,146.45,-138.74,0.01,Vehicle
4,2,-47.46,-97.04,0.02,Vehicle
4,3,7.72,-98.64,0.00,Vehicle
4,4,-103.62,-12.45,0.33,Vehicle
4,5,55.94,-105.77,0.00,Vehicle
4,6,-146.49,-138.95,0.00,Vehicle
4,7,-137.99,-3.85,0.47,Vehicle
4,8,-62.77,-124.66,0.00,Pedestrian
4,9,-86.44,-95.72,0.00,Pedestrian
4,10,95.72,-117.93,0.00,Pedestrian
4,11,140.93,123.97,0.00,Pedestrian
4,12,15.69,117.80,0.00,Pedestrian
4,13,15.69,131.50,0.00,Pedestrian
4,14,-30.65,-60.70,0.00,Pedestrian
4,15,-129.41,15.45,0.00,Pedestrian
4,16,140.80,40.14,0.00,Pedestrian
4,17,60.71,65.32,0.00,Pedestrian
4,18,-62.77,-135.10,0.00,Pedestrian
5,0,89.51,11.79,0.14,Vehicle
5,1,146.45,-138.74,0.03,Vehicle
5,2,-47.47,-97.05,0.10,Vehicle
5,3,7.72,-98.64,0.00,Vehicle
5,4,-103.63,-12.44,0.42,Vehicle
5,5,55.94,-105.77,0.00,Vehicle
5,6,-146.49,-138.95,0.00,Vehicle
5,7,-138.00,-4.05,0.72,Vehicle
5,8,-62.62,-124.66,0.00,Pedestrian
5,9,-86.44,-95.72,0.00,Pedestrian
5,10,95.72,-117.93,0.00,Pedestrian
5,11,140.93,123.97,0.00,Pedestrian
5,12,15.54,117.80,0.00,Pedestrian
5,13,15.54,131.50,0.00,Pedestrian
5,14,-30.65,-60.61,0.00,Pedestrian
5,15,-129.41,15.45,0.00,Pedestrian
5,16,140.80,40.14,0.00,Pedestrian
5,17,60.61,65.32,0.00,Pedestrian
5,18,-62.62,-135.10,0.00,Pedestrian
6,0,89.51,11.79,0.08,Vehicle
6,1,146.45,-138.74,0.01,Vehicle
6,2,-47.47,-97.05,0.08,Vehicle
