t,p_t_x,p_t_y,h_t,v_t,e_t,|A_t|,|M_t|,o_s_t,Pi,D_t,dt_wait,dt_x,dt_y
1,7.56,-119.25,5.01,0.00,0.9969,19,0,1.00,None,1,0.00,0.00,0.00
2,7.56,-119.25,5.01,0.00,0.9969,19,0,1.00,None,1,0.00,0.00,0.00
3,7.56,-119.25,5.01,0.00,0.9969,19,0,1.00,None,1,0.00,0.00,0.00
4,7.56,-119.25,5.01,0.00,0.9969,19,0,1.00,None,1,0.00,0.00,0.00
5,7.56,-119.25,5.01,0.00,0.9969,19,0,1.00,None,1,0.00,0.00,0.00
6,7.56,-119.25,5.01,0.00,0.9969,19,0,1.00,None,1,0.00,0.00,0.00
7,7.56,-119.25,5.01,0.00,0.9969,19,0,1.00,None,1,0.00,0.00,0.00
8,7.56,-119.25,5.01,0.00,0.9969,19,0,1.00,None,1,0.00,0.00,0.00
9,7.56,-119.25,5.01,0.00,0.9969,19,0,1.00,None,1,0.00,0.00,0.00
10,7.56,-119.25,5.01,0.00,0.9969,19,0,1.00,None,1,0.00,0.00,0.00
11,7.54,-119.21,5.01,0.67,0.9968,19,0,1.00,None,1,0.00,0.00,0.00
12,7.54,-119.21,5.01,0.67,0.9968,19,0,1.00,None,1,0.00,0.00,0.00
13,7.54,-119.21,5.01,0.67,0.9968,19,0,1.00,None,1,0.00,0.00,0.00
14,7.54,-119.21,5.01,0.67,0.9968,19,0,1.00,None,1,0.00,0.00,0.00
15,7.54,-119.21,5.01,0.67,0.9968,19,0,1.00,None,1,0.00,0.00,0.00
16,7.54,-119.21,5.01,0.67,0.9968,19,0,1.00,None,1,0.00,0.00,0.00
17,7.47,-119.05,5.01,1.34,0.9968,19,0,1.00,None,1,0.00,0.00,0.00
18,7.47,-119.05,5.01,1.34,0.9968,19,0,1.00,None,1,0.00,0.00,0.00
19,7.47,-119.05,5.01,1.34,0.9968,19,0,1.00,None,1,0.00,0.00,0.00
20,7.47,-119.05,5.01,1.34,0.9968,19,0,1.00,None,1,0.00,0.00,0.00
21,7.42,-118.92,5.01,2.00,0.9967,19,0,1.00,None,1,0.00,0.00,0.00
22,7.42,-118.92,5.01,2.00,0.9967,19,0,1.00,None,1,0.00,0.00,0.00
23,7.39,-118.85,5.01,2.00,0.9967,19,0,1.00,None,1,0.00,0.00,0.00
24,7.39,-118.85,5.01,2.00,0.9967,19,0,1.00,None,1,0.00,0.00,0.00
25,7.39,-118.85,5.01,2.00,0.9967,19,0,1.00,None,1,0.00,0.00,0.00
26,7.34,-118.72,5.01,2.00,0.9967,19,0,1.00,None,1,0.00,0.00,0.00
27,7.34,-118.72,5.01,2.00,0.9967,19,0,1.00,None,1,0.00,0.00,0.00
28,7.32,-118.66,5.01,2.00,0.9966,19,0,1.00,None,1,0.00,0.00,0.00
29,7.32,-118.66,5.01,2.00,0.9966,19,0,1.00,None,1,0.00,0.00,0.00
30,7.32,-118.66,5.01,2.00,0.9966,19,0,1.00,None,1,0.00,0.00,0.00
31,7.27,-118.54,5.01,2.00,0.9966,19,0,1.00,None,1,0.00,0.00,0.00
32,7.27,-118.54,5.01,2.00,0.9966,19,0,1.00,None,1,0.00,0.00,0.00
33,7.27,-118.54,5.01,2.00,0.9966,19,0,1.00,None,1,0.00,0.00,0.00
34,7.27,-118.54,5.01,2.00,0.9966,19,0,1.00,None,1,0.00,0.00,0.00
35,7.27,-118.54,5.01,2.00,0.9966,19,0,1.00,None,1,0.00,0.00,0.00
36,7.19,-118.35,5.01,2.00,0.9965,19,0,1.00,None,1,0.00,0.00,0.00
37,7.19,-118.35,5.01,2.00,0.9965,19,0,1.00,None,1,0.00,0.00,0.00
38,7.19,-118.35,5.01,2.00,0.9965,19,0,1.00,None,1,0.00,0.00,0.00
39,7.19,-118.35,5.01,2.00,0.9965,19,0,1.00,None,1,0.00,0.00,0.00
40,7.14,-118.23,5.01,2.00,0.9965,19,0,1.00,None,1,0.00,0.00,0.00
41,7.12,-118.16,5.01,2.00,0.9965,19,0,1.00,None,1,0.00,0.00,0.00
42,7.12,-118.16,5.01,2.00,0.9965,19,0,1.00,None,1,0.00,0.00,0.00
43,7.12,-118.16,5.01,2.00,0.9965,19,0,1.00,None,1,0.00,0.00,0.00
44,7.07,-118.05,5.01,2.00,0.9965,19,0,1.00,None,1,0.00,0.00,0.00
45,7.07,-118.05,5.01,2.00,0.9965,19,0,1.00,None,1,0.00,0.00,0.00
46,7.07,-118.05,5.01,2.00,0.9965,19,0,1.00,None,1,0.00,0.00,0.00
47,7.07,-118.05,5.01,2.00,0.9965,19,0,1.00,None,1,0.00,0.00,0.00
48,7.02,-117.92,5.01,2.00,0.9964,19,0,1.00,None,1,0.00,0.00,0.00
49,7.02,-117.92,5.01,2.00,0.9964,19,0,1.00,None,1,0.00,0.00,0.00
50,7.02,-117.92,5.01,2.00,0.9964,19,0,1.00,None,1,0.00,0.00,0.00
51,6.97,-117.80,5.01,2.00,0.9964,19,0,1.00,None,1,0.00,0.00,0.00
52,6.97,-117.80,5.01,2.00,0.9964,19,0,1.00,None,1,0.00,0.00,0.00
53,6.97,-117.80,5.01,2.00,0.9964,19,0,1.00,None,1,0.00,0.00,0.00
54,6.92,-117.68,5.01,2.00,0.9963,19,0,1.00,None,1,0.00,0.00,0.00
55,6.92,-117.68,5.01,2.00,0.9963,19,0,1.00,None,1,0.00,0.00,0.00
56,6.92,-117.68,5.01,2.00,0.9963,19,0,1.00,None,1,0.00,0.00,0.00
57,6.92,-117.68,5.01,2.00,0.9963,19,0,1.00,None,1,0.00,0.00,0.00
58,6.92,-117.68,5.01,2.00,0.9963,19,0,1.00,None,1,0.00,0.00,0.00
59,6.92,-117.68,5.01,2.00,0.9963,19,0,1.00,None,1,0.00,0.00,0.00
60,6.84,-117.48,5.01,2.00,0.9963,19,0,1.00,None,1,0.00,0.00,0.00
61,6.84,-117.48,5.01,2.00,0.9963,19,0,1.00,None,1,0.00,0.00,0.00
